Rk,Year,Tm,Lg,W,L,Finish,Playoffs,Stadium,Attendance,Attend/G,Rank,Est. Payroll,PPF,BPF
54,1961,Milwaukee Braves,NL,83,71,4,,County Stadium,1101441,14304,5th of 8,,91,92
55,1960,Milwaukee Braves,NL,88,66,2,,County Stadium,1497799,19452,4th of 8,,91,92
56,1959,Milwaukee Braves,NL,86,70,2,,County Stadium,1749112,22141,2nd of 8,,89,91
57,1958,Milwaukee Braves,NL,92,62,1,Lost WS (4-3),County Stadium,1971101,25599,1st of 8,,90,92
58,1957,Milwaukee Braves,NL,95,59,1,Won WS (4-3),County Stadium,2215404,28403,1st of 8,,90,93
59,1956,Milwaukee Braves,NL,92,62,2,,County Stadium,2046331,26576,1st of 8,,92,94
60,1955,Milwaukee Braves,NL,85,69,2,,County Stadium,2005836,26050,1st of 8,,93,96
61,1954,Milwaukee Braves,NL,89,65,3,,County Stadium,2131388,27680,1st of 8,,92,94
62,1953,Milwaukee Braves,NL,92,62,2,,County Stadium,1826397,23119,1st of 8,,92,94
63,1952,Boston Braves,NL,64,89,7,,Braves Field,281278,3653,8th of 8,,97,97
64,1951,Boston Braves,NL,76,78,4,,Braves Field,487475,6250,8th of 8,,93,93
65,1950,Boston Braves,NL,83,71,4,,Braves Field,944391,11954,7th of 8,,93,94
66,1949,Boston Braves,NL,75,79,4,,Braves Field,1081795,14049,6th of 8,,94,95
67,1948,Boston Braves,NL,91,62,1,Lost WS (4-2),Braves Field,1455439,19151,2nd of 8,,98,99
68,1947,Boston Braves,NL,86,68,3,,Braves Field,1277361,16589,4th of 8,,97,98
69,1946,Boston Braves,NL,81,72,4,,Braves Field &  Fenway Park,969673,12593,6th of 8,,101,101
70,1945,Boston Braves,NL,67,85,6,,Braves Field,374178,4989,6th of 8,,101,100
71,1944,Boston Braves,NL,65,89,6,,Braves Field,208691,2676,8th of 8,,106,104
72,1943,Boston Braves,NL,68,85,6,,Braves Field,271289,3523,8th of 8,,100,98
73,1942,Boston Braves,NL,59,89,7,,Braves Field,285332,4019,7th of 8,,100,97
74,1941,Boston Braves,NL,62,92,7,,Braves Field,263680,3469,7th of 8,,97,94
75,1940,Boston Bees,NL,65,87,7,,Braves Field,241616,3222,7th of 8,,95,93
76,1939,Boston Bees,NL,63,88,7,,Braves Field,285994,3918,7th of 8,,94,92
77,1938,Boston Bees,NL,77,75,5,,Braves Field,341149,4549,6th of 8,,90,90
78,1937,Boston Bees,NL,79,73,5,,Braves Field,385339,5070,7th of 8,,91,90
79,1936,Boston Bees,NL,71,83,6,,Braves Field,340585,4311,7th of 8,,95,93
80,1935,Boston Braves,NL,38,115,8,,Braves Field,232754,3103,7th of 8,,94,91
81,1934,Boston Braves,NL,78,73,4,,Braves Field,303205,4043,6th of 8,,93,92
82,1933,Boston Braves,NL,83,71,4,,Braves Field,517803,6725,4th of 8,,91,92
83,1932,Boston Braves,NL,77,77,5,,Braves Field,507606,6592,3rd of 8,,97,96
84,1931,Boston Braves,NL,64,90,7,,Braves Field,515005,6603,5th of 8,,99,97
85,1930,Boston Braves,NL,70,84,6,,Braves Field,464835,6037,5th of 8,,99,97
86,1929,Boston Braves,NL,56,98,8,,Braves Field,372351,4836,6th of 8,,99,95
87,1928,Boston Braves,NL,50,103,7,,Braves Field,227001,2987,7th of 8,,96,93
88,1927,Boston Braves,NL,60,94,7,,Braves Field,288685,3901,8th of 8,,95,92
89,1926,Boston Braves,NL,66,86,7,,Braves Field,303598,3943,7th of 8,,92,91
90,1925,Boston Braves,NL,70,83,5,,Braves Field,313528,4125,7th of 8,,94,91
91,1924,Boston Braves,NL,53,100,8,,Braves Field,177478,2335,8th of 8,,98,95
92,1923,Boston Braves,NL,54,100,7,,Braves Field,227802,2958,8th of 8,,99,95
93,1922,Boston Braves,NL,53,100,8,,Braves Field,167965,2210,8th of 8,,97,95
94,1921,Boston Braves,NL,79,74,4,,Braves Field,318627,4306,6th of 8,,96,94
95,1920,Boston Braves,NL,62,90,7,,Braves Field,162483,2196,8th of 8,,96,94
96,1919,Boston Braves,NL,57,82,6,,Braves Field,167401,2462,8th of 8,,96,94
97,1918,Boston Braves,NL,53,71,7,,Braves Field,84938,1633,7th of 8,,97,95
98,1917,Boston Braves,NL,72,81,6,,Braves Field,174253,2263,8th of 8,,94,94
99,1916,Boston Braves,NL,89,63,3,,Braves Field,313495,4019,5th of 8,,94,94
100,1915,Boston Braves,NL,83,69,2,,Fenway Park &  Braves Field,376283,4824,3rd of 8,,98,98
101,1914,Boston Braves,NL,94,59,1,Won WS (4-0),South End Grounds III &  Fenway Park,382913,4847,1st of 8,,102,104
102,1913,Boston Braves,NL,69,82,5,,South End Grounds III &  Fenway Park,208000,2701,7th of 8,,102,100
103,1912,Boston Braves,NL,52,101,8,,South End Grounds III,121000,1532,8th of 8,,104,100
104,1911,Boston Rustlers,NL,44,107,8,,South End Grounds III,116000,1547,8th of 8,,111,106
105,1910,Boston Doves,NL,53,100,8,,South End Grounds III,149027,1911,8th of 8,,108,103
106,1909,Boston Doves,NL,45,108,8,,South End Grounds III,195188,2568,8th of 8,,108,104
107,1908,Boston Doves,NL,63,91,6,,South End Grounds III,253750,3253,7th of 8,,102,98
108,1907,Boston Doves,NL,58,90,7,,South End Grounds III,203221,2746,7th of 8,,103,99
109,1906,Boston Beaneaters,NL,49,102,8,,South End Grounds III,143280,1885,8th of 8,,102,97
110,1905,Boston Beaneaters,NL,51,103,7,,South End Grounds III,150003,1974,8th of 8,,103,97
111,1904,Boston Beaneaters,NL,55,98,7,,South End Grounds III,140694,1781,8th of 8,,100,96
112,1903,Boston Beaneaters,NL,58,80,6,,South End Grounds III &  Rocky Point Park,143155,2105,8th of 8,,99,96
113,1902,Boston Beaneaters,NL,73,64,3,,South End Grounds III,116960,1624,7th of 8,,101,100
114,1901,Boston Beaneaters,NL,69,69,5,,South End Grounds III,146502,2093,8th of 8,,109,109
115,1900,Boston Beaneaters,NL,66,72,4,,South End Grounds III,202000,2767,5th of 8,,111,111
116,1899,Boston Beaneaters,NL,95,57,2,,South End Grounds III,200384,2505,7th of 12,,107,110
117,1898,Boston Beaneaters,NL,102,47,1,,South End Grounds III,229275,2902,5th of 12,,103,105
118,1897,Boston Beaneaters,NL,93,39,1,,South End Grounds III,334800,4997,3rd of 12,,103,105
119,1896,Boston Beaneaters,NL,74,57,4,,South End Grounds III,240000,3582,6th of 12,,104,105
120,1895,Boston Beaneaters,NL,71,60,6,,South End Grounds III,242000,3559,5th of 12,,104,105
121,1894,Boston Beaneaters,NL,83,49,3,,South End Grounds III Congress Street Grounds &  South End Grounds II,152800,2425,9th of 12,,111,112
122,1893,Boston Beaneaters,NL,86,43,1,,South End Grounds II,193300,2974,6th of 12,,105,107
123,1892,Boston Beaneaters,NL,102,48,1,Won Series (5-0-1),South End Grounds II,146421,1927,6th of 12,,107,110
124,1891,Boston Beaneaters,NL,87,51,1,,South End Grounds II,184472,2527,5th of 8,,108,109
125,1890,Boston Beaneaters,NL,76,57,5,,South End Grounds II,147539,2235,2nd,,106,109
126,1889,Boston Beaneaters,NL,83,45,2,,South End Grounds II,,,,,102,104
127,1888,Boston Beaneaters,NL,70,64,4,,South End Grounds II,,,,,102,103
128,1887,Boston Beaneaters,NL,61,60,5,,South End Grounds I,,,,,98,98
129,1886,Boston Beaneaters,NL,56,61,5,,South End Grounds I,,,,,95,95
130,1885,Boston Beaneaters,NL,46,66,5,,South End Grounds I,,,,,96,96
131,1884,Boston Beaneaters,NL,73,38,2,,South End Grounds I,,,,,96,99
132,1883,Boston Beaneaters,NL,63,35,1,,South End Grounds I,,,,,99,103
133,1882,Boston Red Stockings,NL,45,39,3,,South End Grounds I,,,,,99,100
134,1881,Boston Red Stockings,NL,38,45,6,,South End Grounds I,,,,,95,95
135,1880,Boston Red Stockings,NL,40,44,6,,South End Grounds I,,,,,94,96
136,1879,Boston Red Stockings,NL,54,30,2,,South End Grounds I,,,,,101,104
137,1878,Boston Red Stockings,NL,41,19,1,,South End Grounds I,,,,,103,108
138,1877,Boston Red Stockings,NL,42,18,1,,South End Grounds I,,,,,101,103
139,1876,Boston Red Stockings,NL,39,31,4,,South End Grounds I,,,,,96,99
1,2014,Miami Marlins,NL East,77,85,4,,Marlins Park,1732283,21386,15th of 15,$31100000,104,103
2,2013,Miami Marlins,NL East,62,100,5,,Marlins Park,1586322,19584,15th of 15,$24761900,103,102
3,2012,Miami Marlins,NL East,69,93,5,,Marlins Park,2219444,27401,12th of 16,$107678000,103,102
4,2011,Florida Marlins,NL East,72,90,5,,Sun Life Stadium,1520562,18772,16th of 16,$57694000,102,101
5,2010,Florida Marlins,NL East,80,82,3,,Sun Life Stadium &  Estadio Hiram Bithorn,1524894,18826,16th of 16,$57454719,103,103
6,2009,Florida Marlins,NL East,87,75,2,,Land Shark Stadium,1464109,18075,16th of 16,$40029000,102,102
7,2008,Florida Marlins,NL East,84,77,3,,Dolphin Stadium,1335076,16482,16th of 16,$21811500,101,101
8,2007,Florida Marlins,NL East,71,91,5,,Dolphin Stadium,1370511,16920,16th of 16,$30507000,98,97
9,2006,Florida Marlins,NL East,78,84,4,,Dolphins Stadium,1164134,14372,16th of 16,$14671500,96,95
10,2005,Florida Marlins,NL East,83,79,3,,Dolphins Stadium,1852608,22872,15th of 16,$60408834,94,94
11,2004,Florida Marlins,NL East,83,79,3,,Pro Player Stadium &  U.S. Cellular Field,1723105,21539,14th of 16,$42143042,95,95
12,2003,Florida Marlins,NL East,91,71,2,Won WS (4-2),Pro Player Stadium,1303215,16089,15th of 16,$49450000,98,98
13,2002,Florida Marlins,NL East,79,83,4,,Pro Player Stadium,813118,10038,15th of 16,$41979917,97,97
14,2001,Florida Marlins,NL East,76,86,4,,Pro Player Stadium,1261226,15765,15th of 16,$35762500,97,96
15,2000,Florida Marlins,NL East,79,82,3,,Pro Player Stadium,1218326,15041,15th of 16,$20347000,95,94
16,1999,Florida Marlins,NL East,64,98,5,,Pro Player Stadium,1369421,17118,15th of 16,$21085000,94,93
17,1998,Florida Marlins,NL East,54,108,5,,Pro Player Stadium,1730384,21363,13th of 16,$41864667,95,94
18,1997,Florida Marlins,NL East,92,70,2,Won WS (4-3),Pro Player Stadium,2364387,29190,5th of 14,$48692500,96,95
19,1996,Florida Marlins,NL East,80,82,3,,Joe Robbie Stadium,1746767,21565,10th of 14,$31132000,96,97
20,1995,Florida Marlins,NL East,67,76,4,,Joe Robbie Stadium,1700466,23950,8th of 14,$24515781,100,100
21,1994,Florida Marlins,NL East,51,64,5,,Joe Robbie Stadium,1937467,32838,5th of 14,$21633000,103,102
22,1993,Florida Marlins,NL East,64,98,6,,Joe Robbie Stadium,3064847,37838,5th of 14,$19330545,105,104

1,2014,New York Mets,NL East,79,83,2,,Citi Field,2148808,26528,13th of 15,$80862500,95,94
2,2013,New York Mets,NL East,74,88,3,,Citi Field,2135657,26366,13th of 15,$69059860,95,94
3,2012,New York Mets,NL East,74,88,4,,Citi Field,2242803,27689,11th of 16,$91621424,96,95
4,2011,New York Mets,NL East,77,85,4,,Citi Field,2352596,29044,9th of 16,$151897309,96,96
5,2010,New York Mets,NL East,79,83,4,,Citi Field,2559738,31602,8th of 16,$134422942,97,97
6,2009,New York Mets,NL East,70,92,4,,Citi Field,3168571,39118,5th of 16,$151994237,97,97
7,2008,New York Mets,NL East,89,73,2,,Shea Stadium,4042045,49902,1st of 16,$137793376,98,98
8,2007,New York Mets,NL East,88,74,2,,Shea Stadium,3853955,47580,2nd of 16,$116181663,97,98
9,2006,New York Mets,NL East,97,65,1,Lost NLCS (4-3),Shea Stadium,3379535,41723,3rd of 16,$101584963,97,98
10,2005,New York Mets,NL East,83,79,3,,Shea Stadium,2829929,34937,6th of 16,$101305821,97,97
11,2004,New York Mets,NL East,71,91,4,,Shea Stadium,2318951,28629,11th of 16,$102035970,99,98
12,2003,New York Mets,NL East,66,95,5,,Shea Stadium,2140599,26757,11th of 16,$117176429,98,97
13,2002,New York Mets,NL East,75,86,5,,Shea Stadium,2804838,34628,5th of 16,$94633593,97,96
14,2001,New York Mets,NL East,82,80,3,,Shea Stadium,2658330,32819,10th of 16,$93174428,95,95
15,2000,New York Mets,NL East,94,68,2,Lost WS (4-1),Shea Stadium &  Tokyo Dome,2820530,34821,8th of 16,$79509776,96,96
16,1999,New York Mets,NL East,97,66,2,Lost NLCS (4-2),Shea Stadium,2725668,33650,7th of 16,$68852092,97,97
17,1998,New York Mets,NL East,88,74,2,,Shea Stadium,2287948,28246,9th of 16,$52247999,99,99
18,1997,New York Mets,NL East,88,74,3,,Shea Stadium,1766174,21805,10th of 14,$39800400,97,97
19,1996,New York Mets,NL East,71,91,4,,Shea Stadium,1588323,19609,12th of 14,$24479500,95,95
20,1995,New York Mets,NL East,69,75,2,,Shea Stadium,1273183,17683,11th of 14,$27674992,96,96
21,1994,New York Mets,NL East,55,58,3,,Shea Stadium,1151471,21726,13th of 14,$30956583,99,99
22,1993,New York Mets,NL East,59,103,7,,Shea Stadium,1873183,23126,11th of 14,$39043667,99,98
23,1992,New York Mets,NL East,72,90,5,,Shea Stadium,1779534,21970,8th of 12,$44602002,100,99
24,1991,New York Mets,NL East,77,84,5,,Shea Stadium,2284484,27860,5th of 12,$32590001,99,99
25,1990,New York Mets,NL East,91,71,2,,Shea Stadium,2732745,33738,2nd of 12,$21922834,99,100
26,1989,New York Mets,NL East,87,75,2,,Shea Stadium,2918710,36033,3rd of 12,$19885071,93,95
27,1988,New York Mets,NL East,100,60,1,Lost NLCS (4-3),Shea Stadium,3055445,38193,1st of 12,$15401814,93,95
28,1987,New York Mets,NL East,92,70,2,,Shea Stadium,3034129,37458,2nd of 12,$13846714,93,95
29,1986,New York Mets,NL East,108,54,1,Won WS (4-3),Shea Stadium,2767601,34168,2nd of 12,$15393714,96,98
30,1985,New York Mets,NL East,98,64,2,,Shea Stadium,2761601,34094,2nd of 12,$10834762,97,99
31,1984,New York Mets,NL East,90,72,2,,Shea Stadium,1842695,22749,6th of 12,,99,99
32,1983,New York Mets,NL East,68,94,6,,Shea Stadium,1112774,13570,12th of 12,,100,99
33,1982,New York Mets,NL East,65,97,6,,Shea Stadium,1323036,16334,9th of 12,,101,99
34,1981,New York Mets,NL East,41,62,5,,Shea Stadium,704244,13543,7th of 12,,100,98
35,1980,New York Mets,NL East,67,95,5,,Shea Stadium,1192073,14537,9th of 12,,98,97
36,1979,New York Mets,NL East,63,99,6,,Shea Stadium,788905,9621,11th of 12,,97,95
37,1978,New York Mets,NL East,66,96,6,,Shea Stadium,1007328,12592,10th of 12,,97,96
38,1977,New York Mets,NL East,64,98,6,,Shea Stadium,1066825,13504,10th of 12,,95,94
39,1976,New York Mets,NL East,86,76,3,,Shea Stadium,1468754,17912,4th of 12,,93,93
40,1975,New York Mets,NL East,82,80,3,,Shea Stadium,1730566,21365,4th of 12,,95,95
41,1974,New York Mets,NL East,71,91,5,,Shea Stadium,1722209,21262,5th of 12,,99,99
42,1973,New York Mets,NL East,82,79,1,Lost WS (4-3),Shea Stadium,1912390,23610,3rd of 12,,99,98
43,1972,New York Mets,NL East,83,73,3,,Shea Stadium,2134185,27361,1st of 12,,97,97
44,1971,New York Mets,NL East,83,79,3,,Shea Stadium,2266680,27984,1st of 12,,98,98
45,1970,New York Mets,NL East,83,79,3,,Shea Stadium,2697479,32896,1st of 12,,99,100
46,1969,New York Mets,NL East,100,62,1,Won WS (4-1),Shea Stadium,2175373,26529,1st of 12,,101,102
47,1968,New York Mets,NL,73,89,9,,Shea Stadium,1781657,21728,2nd of 10,,101,100
48,1967,New York Mets,NL,61,101,10,,Shea Stadium,1565492,20070,3rd of 10,,100,98
49,1966,New York Mets,NL,66,95,9,,Shea Stadium,1932693,23860,2nd of 10,,101,97
50,1965,New York Mets,NL,50,112,10,,Shea Stadium,1768389,21566,3rd of 10,,99,95
51,1964,New York Mets,NL,53,109,10,,Shea Stadium,1732597,21129,2nd of 10,,100,96
52,1963,New York Mets,NL,51,111,10,,Polo Grounds V,1080108,13335,4th of 10,,105,100
53,1962,New York Mets,NL,40,120,10,,Polo Grounds V,922530,11532,6th of 10,,105,101

1,2014,Philadelphia Phillies,NL East,73,89,5,,Citizens Bank Park,2423852,29924,10th of 15,$168837500,101,100
2,2013,Philadelphia Phillies,NL East,73,89,4,,Citizens Bank Park,3012403,37190,4th of 15,$150860000,100,100
3,2012,Philadelphia Phillies,NL East,81,81,3,,Citizens Bank Park,3565718,44021,1st of 16,$171501558,102,102
4,2011,Philadelphia Phillies,NL East,102,60,1,Lost LDS (3-2),Citizens Bank Park,3680718,45441,1st of 16,$172976379,100,101
5,2010,Philadelphia Phillies,NL East,97,65,1,Lost NLCS (4-2),Citizens Bank Park,3777322,44968,1st of 16,$141928379,101,102
6,2009,Philadelphia Phillies,NL East,93,69,1,Lost WS (4-2),Citizens Bank Park,3600693,44453,2nd of 16,$115479046,100,101
7,2008,Philadelphia Phillies,NL East,92,70,1,Won WS (4-1),Citizens Bank Park,3422583,42254,4th of 16,$97879880,101,102
8,2007,Philadelphia Phillies,NL East,89,73,1,Lost LDS (3-0),Citizens Bank Park,3108325,38374,6th of 16,$89428213,103,104
9,2006,Philadelphia Phillies,NL East,85,77,2,,Citizens Bank Park,2701815,33356,7th of 16,$88273333,104,105
10,2005,Philadelphia Phillies,NL East,88,74,2,,Citizens Bank Park,2665304,32905,9th of 16,$95522000,104,105
11,2004,Philadelphia Phillies,NL East,86,76,2,,Citizens Bank Park,3250092,40125,3rd of 16,$93219167,104,105
12,2003,Philadelphia Phillies,NL East,86,76,3,,Veterans Stadium,2259948,27901,10th of 16,$70780000,93,93
13,2002,Philadelphia Phillies,NL East,80,81,3,,Veterans Stadium,1618467,20231,14th of 16,$57954999,94,94
14,2001,Philadelphia Phillies,NL East,86,76,2,,Veterans Stadium,1782054,22001,14th of 16,$41663833,97,97
15,2000,Philadelphia Phillies,NL East,65,97,5,,Veterans Stadium,1612769,19911,13th of 16,$47513000,101,100
16,1999,Philadelphia Phillies,NL East,77,85,3,,Veterans Stadium,1825337,22535,12th of 16,$31897500,105,104
17,1998,Philadelphia Phillies,NL East,75,87,3,,Veterans Stadium,1715722,21182,14th of 16,$36297500,103,102
18,1997,Philadelphia Phillies,NL East,68,94,5,,Veterans Stadium,1490638,18403,14th of 14,$36656500,101,100
19,1996,Philadelphia Phillies,NL East,67,95,5,,Veterans Stadium,1801677,22243,9th of 14,$34314500,101,99
20,1995,Philadelphia Phillies,NL East,69,75,2,,Veterans Stadium,2043598,28383,4th of 14,$30555945,100,99
21,1994,Philadelphia Phillies,NL East,54,61,4,,Veterans Stadium,2290971,38183,4th of 14,$31599000,102,102
22,1993,Philadelphia Phillies,NL East,97,65,1,Lost WS (4-2),Veterans Stadium,3137674,38737,4th of 14,$28538334,98,98
23,1992,Philadelphia Phillies,NL East,70,92,6,,Veterans Stadium,1927448,23796,6th of 12,$24492834,100,100
24,1991,Philadelphia Phillies,NL East,78,84,3,,Veterans Stadium,2050012,24699,8th of 12,$22487332,99,99
25,1990,Philadelphia Phillies,NL East,77,85,4,,Veterans Stadium,1992484,24599,7th of 12,$13740167,100,99
26,1989,Philadelphia Phillies,NL East,67,95,6,,Veterans Stadium,1861985,22987,8th of 12,$10779000,101,99
27,1988,Philadelphia Phillies,NL East,65,96,6,,Veterans Stadium,1990041,24568,6th of 12,$13900500,103,101
28,1987,Philadelphia Phillies,NL East,80,82,4,,Veterans Stadium,2100110,25927,5th of 12,$12482997,104,103
29,1986,Philadelphia Phillies,NL East,86,75,2,,Veterans Stadium,1933335,24167,4th of 12,$11590166,104,103
30,1985,Philadelphia Phillies,NL East,75,87,5,,Veterans Stadium,1830350,22597,7th of 12,$10644966,103,103
31,1984,Philadelphia Phillies,NL East,81,81,4,,Veterans Stadium,2062693,25465,3rd of 12,,101,102
32,1983,Philadelphia Phillies,NL East,90,72,1,Lost WS (4-1),Veterans Stadium,2128339,25955,5th of 12,,99,99
33,1982,Philadelphia Phillies,NL East,89,73,2,,Veterans Stadium,2376394,29338,2nd of 12,,102,103
34,1981,Philadelphia Phillies,NL East,59,48,3,Lost LDS (3-2),Veterans Stadium,1638752,29795,2nd of 12,,104,105
35,1980,Philadelphia Phillies,NL East,91,71,1,Won WS (4-2),Veterans Stadium,2651650,32736,2nd of 12,,105,105
36,1979,Philadelphia Phillies,NL East,84,78,4,,Veterans Stadium,2775011,34259,2nd of 12,,102,103
37,1978,Philadelphia Phillies,NL East,90,72,1,Lost NLCS (3-1),Veterans Stadium,2583389,31505,2nd of 12,,100,101
38,1977,Philadelphia Phillies,NL East,101,61,1,Lost NLCS (3-1),Veterans Stadium,2700070,33334,2nd of 12,,103,105
39,1976,Philadelphia Phillies,NL East,101,61,1,Lost NLCS (3-0),Veterans Stadium,2480150,30619,2nd of 12,,101,103
40,1975,Philadelphia Phillies,NL East,86,76,2,,Veterans Stadium,1909233,23571,3rd of 12,,103,104
41,1974,Philadelphia Phillies,NL East,80,82,3,,Veterans Stadium,1808648,22329,4th of 12,,104,104
42,1973,Philadelphia Phillies,NL East,71,91,6,,Veterans Stadium,1475934,18221,5th of 12,,103,102
43,1972,Philadelphia Phillies,NL East,59,97,6,,Veterans Stadium,1343329,17004,6th of 12,,104,102
44,1971,Philadelphia Phillies,NL East,67,95,6,,Veterans Stadium,1511223,18657,5th of 12,,102,100
